,EC_Multi_layer_full_right
0,0.5263478416987335
1,0.3054223397550736
2,0.44164708808997577
3,0.7902310921603851
4,0.747815553585018
5,1.0
6,0.30775483838192347
7,0.39531282479653795
8,0.48215047223806584
9,0.356306837873787
10,0.7484575933366772
11,0.5371852350036843
12,0.7162480766901128
13,0.2359274580907618
14,0.8541276614521046
15,0.26887227014497855
16,0.5225182463657235
17,0.22646849613600742
18,0.6800229773038936
19,0.276759745545562
20,0.5349269387031765
21,0.481277978670339
22,0.38846701534227257
23,0.23586924910403884
24,0.3200811399348336
25,0.40966801592283647
26,0.39610840525762075
27,0.3543351676932833
28,0.6376969681218146
29,0.7027921774136046
30,0.3789073363107553
31,0.3504587608882997
32,0.36231817874562217
33,0.48318711288910565
34,0.5625665121041827
35,0.37721216313241135
36,0.2594166975721325
37,0.47502792960367446
38,0.7193214769680755
39,0.804347725842211
40,0.4815718300316093
41,0.8074908574308746
42,0.7192475105512643
43,0.601679850999684
44,0.4600353678690937
45,0.22677434149075495
46,0.23022596885003935
47,0.47344229886265515
48,0.38543961587300213
49,0.5303939916892075
50,0.43068045669081373
51,0.2908272681768526
52,0.5947300059451538
53,0.21341079160317705
54,1.0
55,0.32759417944114494
56,0.6186401977991526
57,0.6211306750209292
58,0.5377452667513378
59,0.37131691315250603
60,0.271024534059799
61,0.252675204636939
62,0.3709452305754056
63,0.3794792211777512
64,0.5130154986273674
65,0.29535010550440227
66,0.343325297267137
67,0.5145001280946253
68,0.45003650345348634
69,0.31126487766861427
70,0.3015377935515587
71,0.44892216546564484
72,0.6191593325883937
73,0.2793111412298334
74,0.39731442571765513
75,0.3031948612046264
76,0.23745077180418822
77,0.2483187730208241
78,0.4388941824191202
79,0.26727787418949855
80,0.5736357980943757
81,0.3520901609904896
82,0.5438212597710371
83,0.439476900636741
84,0.43560861866436773
85,0.5176770795421658
86,0.584839450056738
87,0.3442293457804623
88,0.3306600731588151
89,0.32641451512412173
90,0.3997036649012636
91,0.3585508413311751
92,0.4055905595344077
93,0.5459008788608963
94,0.2384365782352452
95,0.2906947481319916
96,0.6522038295020584
97,0.49732062086357903
98,0.21121216064458911
99,0.25139472953384695
100,1.0
101,0.6148959853707208
102,0.2041389490817536
103,0.4121650880053259
104,0.20465177164154363
105,0.46834390745500665
106,0.37608733201739897
107,0.24310284041383415
108,0.2809252130835696
109,0.47165719277863866
110,0.3349393040548269
111,0.4068974211013904
112,0.49679081430272726
113,0.3354577444265912
114,0.39714741717105734
115,0.5979473832569743
116,0.361265091793685
117,0.21510751761333816
118,0.5038963235955599
119,0.555334297362742
120,0.32167902157349304
121,0.5641546407137426
122,0.4350425966757505
123,0.34880588751765856
124,0.2724282267116502
125,0.6136168943772541
126,0.6851446105615937
127,0.4278941377498089
128,0.32059004234730415
129,0.3539782665191376
130,0.9115567139322469
131,0.42531707116704853
132,0.3191433190836707
133,0.49850809305998434
134,0.4930711276917713
135,0.4065344796211162
136,0.38534084547741726
137,0.8553329730525052
138,0.342874761380737
139,0.32037465284156946
140,0.25448988035608067
141,0.5020957225123717
142,1.0
143,0.9745446595047134
144,0.3174730916482236
145,0.5710888509975547
146,0.33078187348978044
147,0.8524894633115745
148,0.5841611036733897
149,0.5082192606694452
150,0.2937557797973592
151,0.7013660340941904
152,0.730181705926074
153,0.525064084731139
154,0.6977900252953859
155,0.288699857361476
156,0.6355130346647496
157,0.43218266047022014
158,0.24220379306964251
159,0.7758658079910924
160,0.25024217531701554
161,0.39643756463648633
162,0.39721597115159485
163,0.3017465094647404
164,0.5146488642642654
165,0.30224004777017976
166,0.8822887401469748
167,0.5736182844793648
168,0.44605783772584773
169,0.313300980725184
170,0.3643894140066599
171,0.47754064718223643
172,0.31960452080832613
173,0.5726182486555067
174,0.20901301715436546
175,0.4512853847609663
176,0.2809323116137608
177,0.06910256986515215
178,0.28872226278515856
179,0.11899950529049873
180,0.16077480482941603
181,0.39623314953606115
182,0.11650470361346578
183,0.138891601796904
184,0.13669830999474353
185,1.0
186,0.2539755978409147
187,0.3438827249726858
188,0.26761341730521804
189,0.13832637608203915
190,0.11020058982074586
191,0.18263629901027237
192,0.2747475514045997
193,0.3299469731538183
194,0.30684289664372455
195,0.09344904980077702
196,0.12277994090890623
197,0.17392038866021337
198,0.3077535486043839
199,0.28265351147871787
200,0.12735819095246087
201,0.26037593926632696
202,0.29593288387036043
203,0.12655134055811032
204,0.2277887352105253
205,0.11369428667507198
206,0.12324978193839844
207,0.14885251746624184
208,0.1692859682816184
209,0.3145598789716092
210,0.16086075501752853
211,0.25485357063669795
212,0.26351096213287006
213,0.23184908019390257
214,0.149698365865012
215,0.1111280315936311
216,0.3344369267967415
217,0.20771031151917158
218,0.14201848422767832
219,0.33732225924579246
220,0.36881054016807074
221,0.3091803846905243
222,0.26864234421544386
223,0.3457706926682872
224,0.3391228023434082
225,0.2917078298696175
226,0.846965604940785
227,0.3401174345262152
228,0.33179460955505585
229,0.39782813707680215
230,0.19565708059044296
231,0.3551726202034106
232,0.3180689080974164
233,0.23358998460726887
234,0.6622922029473159
235,0.46330696661779797
236,0.2312555770688433
237,0.5218503813903588
238,0.31241241177970375
239,0.3247005280533023
240,0.4072861718598475
241,0.5073892745854085
242,0.7294938158421481
243,0.47592541241129893
244,0.3236634633188842
245,0.5121601763100202
246,0.30630210204646396
247,0.7152819082431511
248,0.49363741349694207
249,1.0
250,0.38444496862356814
251,0.3993121104333729
252,0.3243453672125472
253,0.4725987193174036
254,0.3604408115404904
255,0.6849476519865219
256,0.35168793210418714
257,0.29614222011783453
258,0.2179490607476704
259,0.49322784421660915
260,0.23279311531819327
261,0.5405018135138967
262,0.715585018572759
263,0.3129437779281671
264,0.13612826524081345
265,0.15673308340587155
266,0.2184209685903045
267,0.42453660327630965
268,0.29296385555813376
269,0.29257109747655197
270,1.0
271,0.4687839623238373
272,0.2438432980981765
273,0.29423194580765877
274,0.2789218236988339
275,0.3952199844239743
276,0.3677675843437648
277,0.37693757087115765
278,0.50451878772945
279,0.22567342223987213
280,0.2651572336292864
281,0.22403856306990153
282,0.14788852750314124
283,0.18400061395984948
284,0.26419966721385224
285,0.23859634828231743
286,0.4264142295250365
287,0.23380723335438117
288,0.16550310877190252
289,0.3192188412855342
290,0.3644055471221513
291,0.27596236287225956
292,0.2825681508478104
293,0.3264906934874589
294,0.22518336722006851
295,0.34509488471054506
296,0.2072438628752834
297,0.4064298416294514
298,0.31850245773055375
299,0.18280475073302413
300,0.49379242005694335
301,0.2646149548966194
302,0.22807549853570971
303,0.18986847891633024
304,0.15874912732955507
305,0.22193150202590026
306,0.1445574578693707
307,0.3979686566812502
308,0.598328221281577
309,0.5215969981641395
310,0.4447355810740344
311,0.36566351202002345
312,0.5140324832810865
313,0.8726547779622295
314,0.3217342397266897
315,0.8841964660962481
316,0.4297331314685557
317,0.3819975802410384
318,0.2540965764999121
319,0.40144499369813325
320,0.6140487696219992
321,0.32834131610326894
322,0.5097759944038948
323,0.3279370281711838
324,0.3738124543765527
325,0.42395287261890163
326,0.3054262803876885
327,0.6375976808248188
328,0.2967314287408047
329,0.45277053341887613
330,0.3634591262455101
331,0.36325939749136726
332,0.7622867742392725
333,0.5698789831924008
334,0.4249475568041057
335,0.6390131739214314
336,0.7579258568192274
337,0.672433731021347
338,0.5525990993436914
339,0.3748257935419085
340,0.5407300130445661
341,0.22268642321766702
342,0.7228759413960513
343,0.665554951909949
344,0.5236668320468596
345,1.0
346,0.31984381429157493
347,0.4503097249076144
348,0.5151413850973143
349,0.43734083923231104
350,0.8008193790114915
351,0.5372411079916394
352,0.45182511310750345
353,0.5961127109498761
354,0.36834805376745433
355,0.4486623817135708
