,EC_Multi_layer_full_left
0,0.43791654327643653
1,0.588150945545393
2,0.5396211660864916
3,0.6610137146337859
4,0.5428026816851117
5,0.8763894259134869
6,0.42719633081301245
7,0.4402122635513324
8,0.3696577943558697
9,0.3542235780300244
10,0.49894284597173605
11,0.477091333338571
12,0.49598363479912927
13,0.39231716672345057
14,0.5165917343203147
15,0.6156188913460611
16,0.2962503014979647
17,0.4486757714485287
18,0.4562723341428964
19,0.5699247429587354
20,0.5398219158711423
21,0.34008784898567096
22,0.3669644298852442
23,0.40105867720505217
24,0.42798930955677283
25,0.5646887616053002
26,0.3790019837025958
27,1.0
28,0.401697108712729
29,0.6046301470997743
30,0.6594115359028302
31,0.33425042573863667
32,0.3658446884991853
33,0.42177941581980627
34,0.3302176186431392
35,0.4646771511987411
36,0.3388509553471065
37,0.5257554887424128
38,0.5983924263627044
39,0.5003127884628942
40,0.4563970807450633
41,0.6485990214307739
42,0.8604830984013578
43,0.46647664503156594
44,0.8197705451452144
45,0.6250847024880485
46,0.6565709952467961
47,0.7800079460831346
48,0.8733033741161274
49,0.8254516694516082
50,1.0
51,0.5660549585600884
52,0.5738998274108389
53,0.7803397515131226
54,0.5706483838040464
55,0.622519418996328
56,0.8708798154479861
57,0.947670668468699
58,0.6963364234336572
59,0.4671315606248631
60,0.7171625071929902
61,0.8323379318172415
62,0.7076350913686893
63,0.5567071944547957
64,0.9827401395664787
65,0.5638205239883315
66,0.4394597403055262
67,0.9781107858851419
68,0.5965501402982495
69,0.7662368620268448
70,0.8407916623148046
71,0.6076092749648618
72,0.47841903499283284
73,0.4753782983903645
74,0.5238621258238764
75,0.4827879581380842
76,0.6000859623156493
77,0.6499452724111777
78,0.8075729992840233
79,0.6315842395359105
80,0.4843362902291234
81,0.7717033426601723
82,0.5392227288844424
83,0.9183280401029523
84,0.8397083869268074
85,0.6180916042651061
86,0.5972688416204767
87,0.5158673650656654
88,0.5626874159896387
89,0.595926435281869
90,0.5882318989679747
91,0.39383787379716206
92,0.9763535755131301
93,0.8632374123283734
94,0.5187906315205869
95,0.5740671403250549
96,0.5456882795142866
97,0.7593708887705198
98,0.5860882988733959
99,0.4507207075555707
100,0.45967042867594365
101,0.8033430001940176
102,0.5440823425884027
103,0.8746706871321969
104,0.8162557070531539
105,0.5207160231419071
106,0.9406523193455848
107,0.5883270248919559
108,0.6419160900466419
109,0.7979190346506111
110,0.7651244456615292
111,0.8326711049193226
112,0.7715551967009178
113,0.5674498076851755
114,0.52432901345089
115,0.9195629922605926
116,0.547496908574663
117,0.5390772756874085
118,0.5139918484712453
119,0.4779752659927463
120,1.0
121,0.611969942152867
122,0.4127668973029217
123,0.38523635082622626
124,0.6117317992450968
125,0.6276522134447979
126,0.7479779616691802
127,0.7842646344504565
128,0.5089475343922483
129,0.6556101598147352
130,0.4660813876677227
131,0.6357093340893911
132,0.482236720221177
133,0.6634583986209027
134,0.7004954902555701
135,0.4588307105406642
136,0.43715764973829513
137,0.30266174554540376
138,0.3858799864751504
139,0.3178500341241889
140,0.2959476797892222
141,0.6264351029911237
142,0.5293966318543687
143,0.7873210523768704
144,0.5350301356125957
145,0.49754773787976525
146,0.41139870459183353
147,0.35317602388119373
148,0.29575093715245415
149,0.25438852270948786
150,0.4812078489173051
151,0.43144159905871104
152,0.3942662113639375
153,0.2881063744637442
154,0.3541242007053713
155,0.3197945823501796
156,0.4746348321744429
157,0.5278554623419072
158,0.44960644186956666
159,0.32460612890260426
160,0.3733794672194335
161,0.7683468649127086
162,0.5472544283277367
163,0.4851524450407709
164,0.5050841353108373
165,0.38554288627700084
166,0.48969585097773966
167,0.21612854949806334
168,0.4692005667125733
169,0.29347495441209487
170,0.7099955880407182
171,1.0
172,0.44770589674814953
173,0.4983418246179977
174,0.7282492217502474
175,0.5625149199255352
176,0.6487937986117494
177,0.49378981452320764
178,0.5323854961486234
179,0.6397741362178551
180,0.42647264420072206
181,0.4573598234032257
182,0.38841122484871327
183,0.5227036529134121
184,0.6278956478097334
185,0.4425102846343593
186,0.7152027367276711
187,0.5679416382133138
188,0.5013605567658223
189,0.35667232722975095
190,0.49627732087463067
191,0.5847159694604391
192,0.5929645046705326
193,0.4112101772172097
194,0.5770691328973486
195,0.3913748085449272
196,0.523955274034701
197,0.40258406508136235
198,0.3922194111202046
199,0.47317285605361076
200,0.3742325569801835
201,0.42936261742428317
202,1.0
203,0.37712375228138173
204,0.46842630467600066
205,0.9334442162580912
206,0.7485005856800964
207,0.4610579455126399
208,0.39319283689143825
209,0.4567268188964887
210,0.42038023632857835
211,0.8155395092270175
212,0.4597102887813157
213,0.6131090997834067
214,0.6218474821362988
215,0.6642792203125483
216,0.6410308569585603
217,0.6692555468121286
218,0.4864140788936764
219,0.5113291791274516
220,0.5027717611464689
221,1.0
222,0.4739462260878838
223,0.7680627809129644
224,0.4433512992569989
225,0.6000934894921702
226,0.3811303393538652
227,0.42948573896010217
228,0.5089793199162603
229,0.5529330774922093
230,0.6551436975991359
231,0.3684058675622446
232,0.4224887324768675
233,0.6185944999056693
234,0.4839632008977705
235,0.42907585527485537
236,0.4896289687255879
237,0.5082006020589608
238,0.5803634803155132
239,0.6376919258056166
240,0.48987178344425675
241,0.5457483535868098
242,0.36826495176383695
243,0.5696897212576134
244,0.4300735565164203
245,0.5015663510079619
246,0.7462828888059835
247,0.7959406938822297
248,0.7275708988623282
249,0.8696710749453276
250,0.54535171200871
251,0.909465873325152
252,0.5592085015910079
253,0.7820919115242023
254,0.4827781882147369
255,0.4880632772959496
256,0.4679630358159665
257,0.560922465824459
258,0.43622473352517
259,0.580298442190195
260,0.5688073877942333
261,0.7139228822537149
262,0.6777103257082515
263,0.5404396039719386
264,0.4090377127142855
265,0.39055344748472287
266,0.4206432195579542
267,0.5737422623027794
268,0.6041874856956184
269,0.47147972057171
270,1.0
271,0.2922420797559801
272,0.47500843462311565
273,0.39695505941753995
274,0.44148572920953394
275,0.4939152593905112
276,0.3853949667839494
277,0.5144541356383783
278,0.43395744587671775
279,0.41826854324346424
280,0.4138571096443817
281,0.3521040489220098
282,0.5495379546571926
283,0.5288513985859142
284,0.4919274958003162
285,0.4126691428192319
286,0.510306363954221
287,0.492763763698657
288,0.4429556260362919
289,0.4043594473404697
290,0.46909348484959545
291,0.6138214268933886
292,0.47728593674825853
293,0.49926372291077026
294,0.5088211704400721
295,0.6179284167514854
296,0.6054551240160779
297,0.6340735494836
298,0.317402257550741
299,0.43475063340579223
300,0.4215034012800793
301,0.4715067468274206
302,0.38120417289161074
303,0.34045556724790144
304,0.6202168372869372
305,0.4105849528548485
306,0.6470174225203632
307,0.4457842429369689
308,0.4829505255836046
309,0.3662234862450807
310,0.4606582485274468
311,0.2879663842971543
312,0.38038673312285454
313,0.3281930811687893
314,0.45103283836181646
315,0.3113039709104259
316,0.6874862969950528
317,0.4557402139199661
318,0.401383689598319
319,0.5986580986709018
320,0.31661001110716297
321,0.3233227668181966
322,0.3755746091255102
323,0.2319924634720239
324,0.43617050187656187
325,0.4294460073470859
326,0.5856251471028944
327,0.38549124456309014
328,0.3255254922529725
329,0.35665585849120934
330,0.4530673594785232
331,0.4772739000541865
332,0.4492912796753564
333,0.48840452309603655
334,0.5733986767895596
335,0.45459199275517104
336,0.5299528466095683
337,0.3751464810807937
338,0.3822397813672947
339,0.2648741464000609
340,0.33646304224105356
341,0.34070285705939896
342,0.6209060135521155
343,0.44904435466402837
344,0.2972143496027431
345,0.2807479693732727
346,0.4116115607868276
347,1.0
348,0.47252940322926223
349,0.434260583429831
350,0.32818682176382213
351,0.4374136306469057
352,0.2991636454988421
353,0.502718080801903
354,0.32801963423003766
355,0.508227959480351
356,0.905629135159135
357,0.6930338112742895
358,0.38022533097638295
359,0.6666156055003827
360,0.5534177240325593
361,0.4114993351219142
362,0.35428544110935084
