,EC_Multi_layer_left_pli_beta
512,0.0018375997249849853
513,0.11629293225887782
514,0.005517508923764843
515,0.0572859238791425
516,0.0018085896006635738
517,0.021688682619866596
518,0.001808589600663551
519,0.3071624119282403
520,0.005517508923764829
521,0.10417779141855978
522,0.005888056384601271
523,0.0018375997249849675
524,0.3071624119282402
525,0.01796283890704
526,0.3391619136097222
527,0.0066619480650642994
528,0.05223690282039927
529,0.027825552013112764
530,0.4789326088568373
531,0.2670037636074732
532,0.91304667169816
533,0.1630961196794354
534,0.17374755474935752
535,0.027850811505767042
536,0.05223690282039925
537,0.02785081150576706
538,0.1280639386392034
539,0.10276442132980423
540,0.28326863348462983
541,0.07677035704173765
542,0.42938695311494957
543,0.10021312713343644
544,0.20564741366443134
545,0.3312358015426244
546,0.05223690282039925
547,0.1439902632440786
548,0.36278079950345177
549,0.518107508410229
550,0.20478381265576426
551,0.2762360281211158
552,0.7359919928864171
553,0.4495720829290567
554,0.5331635300339951
555,0.19342149169181536
556,0.1879594561298043
557,0.24019635895020353
558,0.013326564218521826
559,0.36976818493727764
560,0.031036257906406805
561,0.10276442132980425
562,0.07670072961743958
563,1.0
564,0.027850811505767105
565,0.10276442132980426
566,0.1630961196794354
567,0.0367344805369036
568,0.1835988941605051
569,0.08555099373750472
570,0.08793149736352139
571,0.10276442132980433
572,0.0442291696194317
573,0.14744603210718257
574,0.015040808343931738
575,0.2939475228953843
576,0.029334831831905175
577,0.1264448325156145
578,0.11093671739743834
579,0.04489268676637441
580,0.08400564403522513
581,0.07891925803579682
582,0.013227859414507426
583,0.01705725572618864
584,0.014818504112242224
585,0.1545900134516056
586,0.3350391662277978
587,0.44008595701593967
588,0.5694481339418186
589,0.039481531557756945
590,0.055646595127354356
591,0.0984839329855957
592,1.0
593,0.19078742800584148
594,0.07200377392260228
595,0.02933483183190506
596,0.22258862126702808
597,0.005714848736636593
598,0.08755642560296975
599,0.07891925803579664
600,0.03716814530088645
601,0.15622920810652102
602,0.16608982094206706
603,0.3774031374876426
604,0.2355523353414101
605,0.01481850411224219
606,0.09848393298559573
607,0.005714848736636691
608,0.028145180935991027
609,0.11895154625693713
610,0.07891925803579666
611,0.4614087815228681
612,0.33503916622779784
613,0.4663013278880324
614,0.014818504112242142
615,0.21491151238612502
616,0.16877007176435307
617,0.026283298535936292
618,0.0036609339374238893
619,0.02436234817869628
620,0.5198467247673579
621,0.04924160251155031
622,0.010347583515429396
623,0.07609738313350198
624,0.15413844760939274
625,0.3246535252095341
626,0.003660933937423911
627,0.06425846206651406
628,0.1541384476093928
629,0.3246535252095341
630,0.4747782963696774
631,0.2636952794713817
632,0.07504107082457415
633,0.08782691563683696
634,0.168770071764353
635,0.026283298535936264
636,0.06713174860597833
637,0.11781790855797077
638,0.008899363436885072
639,0.17051747272388207
640,0.13568785966418298
641,0.008965634527523698
642,0.32465352520953417
643,0.031872697235463564
644,0.08095799520110772
645,0.02628329853593625
646,0.02761600854861277
647,0.36290352455569386
648,0.010347583515429191
649,0.03187269723546335
650,0.01127643365357282
651,0.06713174860597836
652,0.015986459842341413
653,0.08560960206149716
654,0.02741187988376642
655,0.3800126238391631
656,1.0
657,0.2067796693803067
658,0.15413844760939274
659,0.36870506717764756
660,0.0036939561457882426
661,0.24791087458161676
662,0.13181491213897206
663,0.5113086685183909
664,0.06702978990455156
665,0.04248099460270634
666,0.010750917231727677
667,0.05522417423405185
668,0.028177796784950197
669,0.029894401634119605
670,0.276643900366506
671,0.43427260283970054
672,0.011462031653356953
673,0.06689020156521662
674,0.3222776081504251
675,0.2479108745816169
676,0.059260995232137716
677,0.7692463525604388
678,0.0036939561457881714
679,0.2479108745816168
680,0.06689020156521659
681,0.033359181524983975
682,0.19467773635080518
683,0.3222776081504252
684,0.3222776081504251
685,0.118124238806561
686,0.13995633572843819
687,1.0
688,0.20798773544721424
689,0.2075546047058757
690,0.01779751478423237
691,0.01779751478423245
692,0.09275978497446903
693,0.06702978990455158
694,0.15355839961201506
695,0.118124238806561
696,0.02989440163411967
697,0.08915613451952217
698,0.3665294634786598
699,0.42125447562715995
700,0.0759712745160193
701,0.1838818265167125
702,0.05522417423405163
703,0.15355839961201515
704,0.1418741752327677
705,0.015194526169648642
706,0.04347337343733065
707,0.09241773005159236
708,0.09838545343240213
709,0.0983854534324021
710,0.28149265795544287
711,0.24019972158231334
712,0.07092096387392983
713,0.1781256116293475
714,0.22545342296291798
715,0.2401997215823136
716,0.01519452616964867
717,0.0897645988072641
718,0.028794903805682927
719,0.34951339103123397
720,1.0
721,0.08976459880726384
722,0.474056272276118
723,0.04958692408536418
724,0.09838545343240213
725,0.10918804271866576
726,0.16982096746208009
727,0.08238569549717087
728,0.49056914255877077
729,0.23211704680295792
730,0.5102281118825376
731,0.03230123422174118
732,0.031373929323685205
733,0.02879490380568277
734,0.16982096746208022
735,0.08112801614425742
736,0.19345312598429265
737,0.02478782657878082
738,0.17833155758352964
739,0.17146048455100066
740,0.4858782862683056
741,0.06761445806836275
742,0.16982096746207995
743,0.03137392932368496
744,0.6872403969232997
745,0.35633221627767053
746,0.3495133910312342
747,0.043473373437330994
748,0.34096856285757493
749,0.4698891537987369
750,0.034490519793958986
751,0.00012713599585452502
752,0.002282392797675642
753,0.0007269258244733787
754,0.006508440946827419
755,0.012484435608713497
756,0.3409685628575751
757,0.07117976254236918
758,0.0021319438319506237
759,0.0009664170411350023
760,0.001554567148639002
761,0.0015545671486389813
762,0.1315539673276952
763,0.024270061338615166
764,0.18129466795535099
765,0.34096856285757493
766,0.5011859923306923
767,0.06181578238647727
768,0.01908809683884574
769,0.0025826506252101204
770,0.0042568000675911035
771,0.00032951782963694365
772,0.19069809658209497
773,0.01176018296635702
774,0.036989108055805235
775,0.0008806026720412131
776,0.16021742947311715
777,0.18448749081173235
778,0.3858243300355116
779,0.16021742947311723
780,0.00669385112383188
781,0.002242166862792148
782,0.0022823927976756736
783,0.340968562857575
784,0.0065758756291229336
785,0.08939436191280033
786,0.0015545671486388527
787,0.004559268266876226
788,1.0
789,0.34096856285757493
790,0.34096856285757493
791,0.00037286720743086863
792,0.026128401234440633
793,0.07710138439420848
794,0.12231458349635121
795,1.0
796,0.08179006902707371
797,0.12864120520034286
798,0.08179006902707364
799,0.06309810438693345
800,0.18020547226659278
801,0.10188991693241514
802,0.33012758682262205
803,0.10188991693241507
804,0.047662467671939324
805,0.011398296062656157
806,0.4119176558496957
807,0.12864120520034286
808,0.08179006902707367
809,0.01102986959511226
810,0.03341092969924583
811,0.08653200811337819
812,0.07914637333377249
813,0.38967117664559775
814,0.4904968379973267
815,0.1018899169324151
816,0.16192653747218383
817,0.1619265374721839
818,0.33012758682262205
819,0.24775290612419978
820,0.07710138439420851
821,0.02856660302138507
822,0.1494716301346832
823,0.3705070051054865
824,0.14437590063489147
825,0.4667197689084316
826,0.09318836508972983
827,0.16192653747218386
828,0.011029869595112282
829,0.30863799633673333
830,0.6292354454248595
831,0.020830424934340265
832,0.020830424934340248
833,0.20772797914136643
834,0.034526942060072334
835,0.23355026199502427
836,0.07231392018353257
837,0.06770956462753276
838,0.27727014789124493
839,0.06770956462753275
840,0.06770956462753279
841,0.001510314977545684
842,0.2649502542529975
843,0.2607354247091148
844,0.24420070152698456
845,0.24420070152698445
846,0.06881602455866291
847,0.2442007015269846
848,0.0680015531236702
849,0.0015103149775456614
850,0.06341571422669895
851,0.26080672850470926
852,0.017659110038984998
853,0.08496925928658844
854,0.24420070152698453
855,0.020749552726012904
856,0.07231392018353258
857,0.2610056230005082
858,0.016534723182130204
859,0.2784658385436942
860,0.017659110038985026
861,0.24420070152698453
862,0.06800155312367015
863,0.020749552726012935
864,0.020749552726012917
865,0.2596868634289791
866,0.0015103149775456727
867,0.004312367059862337
868,0.017659110038985005
869,0.006184728250581198
870,0.2784658385436943
871,0.06800155312367018
872,1.0
873,0.020795469823373755
874,0.005078268319451046
875,0.24420070152698448
876,0.2442007015269846
877,0.020749552726012914
878,0.00507826831945105
879,0.24420070152698453
880,0.40279302714055665
881,0.030510299889952384
882,0.05692574820960606
883,0.09399597583693632
884,0.17537655390177795
885,0.009160216453972641
886,0.009990179104044783
887,0.08409259017508942
888,0.07820147289272855
889,0.009160216453972584
890,0.034028870065627645
891,0.4271247296565316
892,0.42644769376820996
893,0.19086517002279826
894,0.32459155424782793
895,0.17075567734165534
896,0.07820147289272857
897,0.1048359688362268
898,0.07820147289272857
899,0.25907202166721827
900,0.06862190316464128
901,0.030510299889952606
902,0.027534964920118914
903,0.02227409020365458
904,0.008937617059580964
905,0.24092269767752872
906,0.1609151700605516
907,0.02822074799573776
908,0.324591554247828
909,0.06195322218947595
910,0.008937617059580915
911,0.5260632173173619
912,0.0032427277625961116
913,0.32459155424782793
914,0.008937617059580906
915,0.015589012119598754
916,0.056925748209606025
917,0.0939959758369365
918,0.04802654879829733
919,1.0
920,0.138421319725625
921,0.3245915542478281
922,0.15496851226846872
923,0.05030147025669576
924,0.033303370638025485
925,0.2916416291740969
926,0.11701280668902798
927,1.0
928,0.03729819781993615
929,0.0465211094300891
930,0.012544123969733464
931,0.0007209227412442243
932,0.03330337063802549
933,0.01087770717746393
934,0.006313207304159326
935,0.002242150934998692
936,0.04301211732103304
937,0.004585365080013115
938,0.2916416291740969
939,0.36392300993561544
940,0.015722601375525377
941,6.70181897069697e-05
942,0.0015493097498425613
943,0.2916416291740969
944,0.09296168073612998
945,0.3249449998121226
946,0.2916416291740968
947,0.10667192755345228
948,0.0018411940634988535
949,0.029890133023983204
950,0.11419278767690898
951,0.012544123969733482
952,0.32275160391292695
953,0.3215317621980801
954,0.013567492145177716
955,0.13083034576562314
956,0.01511680189502021
957,0.10248925405001123
958,0.001841194063498857
959,0.00022979637679551793
960,0.3187531251947443
961,0.0929616807361301
962,0.00531237517164467
963,0.03815557518449682
964,0.0015493097498425789
965,0.3187531251947441
966,0.0006539045515372338
967,0.2916416291740968
