,EC_Multi_layer_right_pli_delta
383,0.007369493179127329
384,0.0003311475446403271
385,0.0010097285962527062
386,0.0009993674996004779
387,0.1192673408569771
388,0.15662872358445887
389,0.29637566579541097
390,0.29637566579541097
391,0.0002577956482652817
392,0.33213429489384316
393,0.017186176739480377
394,0.0002961882080684206
395,0.15662872358445876
396,0.48961182358847327
397,0.006215789022090985
398,0.07819617981134701
399,0.8839123676524901
400,0.36063973221916185
401,0.30834304594840994
402,0.12246460507546263
403,0.3083430459484101
404,0.13451959306981115
405,0.08270839796767626
406,0.19688340357365205
407,0.19688340357365217
408,0.18300560089674783
409,0.06911857043842695
410,0.13451959306981146
411,0.14216074213617438
412,0.0827083979676764
413,0.0827083979676761
414,0.07515305790978713
415,0.006215789022091085
416,0.22793010903373792
417,0.01781850722284145
418,0.6533964199374542
419,0.142160742136174
420,1.0
421,0.006215789022090816
422,0.3083430459484099
423,0.024111248264560067
424,0.3510634679401554
425,0.03243210144883568
426,0.09052699956883199
427,0.2370962369120033
428,0.4075254487491991
429,0.34883893158697754
430,0.4315473295546541
431,0.5643963036980062
432,0.024111248264560042
433,0.14991642713970618
434,0.3488389315869776
435,0.22416127539322508
436,0.3856209295729682
437,0.0638394782912547
438,0.5196345970199325
439,0.259509450843104
440,0.09277423592474497
441,0.30387489284778785
442,0.00035359801040078033
443,0.006876072652657052
444,0.0344156762471405
445,0.00011838083826797103
446,0.0008412815539631849
447,0.04470339995873387
448,0.3382905690949285
449,0.0006276204728212058
450,0.018236470738341722
451,0.0010452493882604503
452,0.33891818956774944
453,0.30387489284778774
454,0.11325607036702251
455,0.09277423592474489
456,0.04470339995873389
457,0.04470339995873387
458,0.09277423592474497
459,0.14783360750301344
460,0.092774235924745
461,0.14711119941431308
462,0.0008412815539632052
463,0.3053040514644163
464,0.1478336075030134
465,0.04058490231149704
466,0.11532146138021007
467,0.04470339995873386
468,0.48649497205109316
469,1.0
470,0.30387489284778774
471,0.0006995308527185748
472,0.30387489284778785
473,3.5972964543935107e-05
474,0.00031762504585683497
475,0.0023020357034533555
476,0.002768512877385483
477,0.30387489284778785
478,0.30387489284778785
479,0.006382887145498556
480,0.30387489284778774
481,0.002065391013187732
482,0.002089465840539753
483,0.006169226064356596
484,0.03162230549781448
485,0.013001592938123228
486,0.0017672925910696105
487,0.001794786723800792
488,0.22907476325482556
489,0.001767292591069655
490,0.13804360222185408
491,0.0014752430193231947
492,0.05883068275279412
493,0.16966590771966888
494,0.0007004804992303008
495,1.0
496,0.050709483384427344
497,0.3482801244564071
498,0.14559970501783398
499,0.005489289221869726
500,0.20709430969299564
501,0.0017672925910696936
502,0.008121199368366845
503,0.0014752430193230442
504,0.34828012445640694
505,0.04870383580522803
506,0.00372199663080021
507,0.0797821870562126
508,0.24240560713924034
509,0.002011256026520798
510,0.4871535749692353
511,0.005153284950159207
512,0.09079560755058996
513,0.004235794453173435
514,0.005074342366875009
515,0.021490774402370422
516,0.0042357944531736256
517,0.016962577995749305
518,0.023318009837748593
519,0.050709483384427295
520,0.5946199485722213
521,0.001767292591069671
522,0.3482801244564071
523,0.010686790228438853
524,0.2578037930774229
525,0.10138763301913487
526,0.3963579674186448
527,0.3482801244564072
528,0.0378201934085647
529,0.007385343870624653
530,0.3085054188529505
531,6.740099698570029e-06
532,0.14114983261372524
533,0.0025544862443963494
534,0.03422063405607046
535,0.01910620098004775
536,0.0342206340560705
537,0.01910620098004775
538,0.038243327725617546
539,2.184758933369842e-05
540,6.740099698542375e-06
541,0.061931492325440325
542,0.004022693669547015
543,0.021384619584227948
544,0.04354548823152089
545,0.03422063405607046
546,0.011667734608608923
547,0.0008948550765920088
548,0.0116677346086089
549,0.00012031238802176086
550,0.10518681058322976
551,0.34477075494833836
552,0.35205090708447134
553,6.7400996985810574e-06
554,0.013039296633762984
555,0.3085054188529504
556,0.00034612755979313915
557,4.3857123358263366e-05
558,0.30850541885295046
559,0.3409561199097358
560,0.14300700399179433
561,0.30850541885295035
562,0.037820193408564524
563,6.740099698547859e-06
564,0.3085054188529504
565,0.00010678222781032251
566,0.3085054188529504
567,0.3526238545183446
568,0.11755169886553586
569,0.03626533609538799
570,0.11092393184957904
571,1.0
572,0.3363573679280696
573,0.005461486879688726
574,0.03117744682836604
575,0.1397881557559033
576,0.12769719838227578
577,0.3363573679280695
578,0.6185268025048858
579,0.09519501669500274
580,0.3363573679280695
581,0.33635736792806964
582,0.28301748607855864
583,0.053678014963569255
584,0.01623715547939598
585,0.3363573679280697
586,0.031889063379198106
587,0.006295887049978578
588,0.01871785086427809
589,0.1397881557559032
590,0.3363573679280695
591,0.005461486879688764
592,0.0311774468283661
593,0.1397881557559033
594,0.41559415397077715
595,0.20804604728350817
596,0.15762078483929748
597,0.0530169123193029
598,0.005461486879688675
599,1.0
600,0.0047647707005335745
601,0.0006967161791543736
602,0.005461486879687799
603,0.014212366175066694
604,0.042253767957020134
605,0.0023878166923081436
606,0.0926914341743613
607,0.13978815575590336
608,0.007099046787697875
609,0.042951893539650614
610,0.3478342030394114
611,0.010726121423918674
612,0.1709656025842694
613,0.0020713569720386786
614,0.3363573679280696
615,0.01416579850735618
616,0.06038132352234219
617,0.0020645480404372692
618,0.5236771604584307
619,0.009537108458629944
620,0.1472295656450265
621,0.08660847294120008
622,0.0031140021795583424
623,0.0031147587516971932
624,0.026095739648521857
625,0.3582385760771952
626,0.18760136028677685
627,0.01195809769238314
628,0.0020645480404371977
629,0.019789106038984428
630,0.41098188603033353
631,0.3582385760771954
632,0.0031140021795584166
633,0.012463259365064958
634,0.08721483099926519
635,0.005763053390409725
636,0.009537108458629987
637,0.08660847294120004
638,0.008694649207812112
639,0.4238224877161603
640,0.05044996701702704
641,0.183073281378922
642,0.008692537285228832
643,0.05524001980936891
644,0.026622226347211182
645,0.02761720906855743
646,0.05044996701702702
647,0.08660847294120005
648,0.14082784598316378
649,1.0
650,0.0031140021795584287
651,0.019789106038984372
652,0.05044996701702696
653,0.0031140021795584504
654,0.2742098332279771
655,0.00989354965194599
656,0.003114002179558407
657,0.24176199528701
658,0.35823857607719545
659,0.35823857607719534
660,0.337526872338162
661,0.023465618908846412
662,0.027649914984816743
663,0.023637840887301566
664,0.007744027648149412
665,0.33752687233816203
666,0.057288769654542646
667,0.0036400684617780184
668,0.023465618908846374
669,0.13256150043365453
670,0.38092333019627056
671,0.3809233301962709
672,0.33752687233816187
673,0.051525803061495526
674,0.33752687233816203
675,0.05248709628197478
676,0.0013865870006029364
677,1.0
678,0.008938601699874333
679,0.026482637183681587
680,0.008011355350671073
681,0.00138658700060288
682,0.1285718602417841
683,0.4455778235362613
684,0.022943440308927
685,0.1503944891614397
686,0.07636844875677282
687,0.20048246642552484
688,0.0077440276481494045
689,0.06952222424926402
690,0.11241128848507319
691,0.062054064462584456
692,0.007978406503518005
693,0.04474306863382516
694,0.0004680103735382799
695,0.169730988403039
696,0.009332589325241133
697,0.1285718602417841
698,0.4051950921894097
699,0.010532497695659945
700,0.020095390866760165
701,0.02577640365419078
702,0.00046801037353821353
703,0.0035550010051249113
704,0.01870172964693386
705,0.34168407987403776
706,0.05300423420223493
707,0.11742769862644564
708,0.38764705856203663
709,0.34168407987403765
710,0.04043490118034551
711,0.043483084131472
712,0.03246150948759186
713,0.12734518483040907
714,0.03499282993633482
715,0.15542678051602307
716,0.24131553953195373
717,0.04043490118034543
718,0.14447552352964602
719,0.05431201780309756
720,0.12627997966323362
721,0.205821098898216
722,0.08309427935990205
723,0.46902926470444684
724,0.040434901180345456
725,1.0
726,0.45137761211559313
727,0.03750689739793868
728,0.018701729646933826
729,0.01825140914091447
730,0.04043490118034553
731,0.3443387007776978
732,0.9922906693390409
733,0.09427203336214246
734,0.04974851406637599
735,0.34433870077769774
736,0.13348188450554785
737,0.15542678051602302
738,0.018701729646933757
739,0.01825140914091444
740,0.012915076320208739
741,0.34168407987403754
742,0.36982536247827136
743,0.42743298013759967
744,0.10162328503099588
745,0.12734518483040905
746,0.0960093556801107
747,0.3443387007776976
748,0.24605013147181531
749,0.02286714392693474
750,0.0006413618183990079
751,0.07528242777883029
752,0.00064136181839909
753,0.0006413618183990612
754,0.06444203073344942
755,0.006745729819323466
756,0.24605013147181523
757,0.2460501314718153
758,0.0064015750146023615
759,0.0026066306673464238
760,0.007387091637722566
761,0.0004967999230511102
762,0.0006413618183990184
763,0.3059637779037472
764,0.24605013147181523
765,0.006745729819323473
766,0.2460501314718153
767,0.07609123420602348
768,1.0
769,0.06444203073344935
770,0.0018968627305915328
771,0.09293693033264706
772,0.24605013147181531
773,0.006745729819323468
774,0.24605013147181531
775,0.06934550438670001
776,0.027416078906245946
777,0.0020191004169734074
778,0.0006413618183990822
779,0.2460501314718153
780,0.02601736067487396
781,0.281834860123387
782,0.24605013147181531
783,0.02286714392693474
784,0.0752824277788302
785,0.26190610160609124
786,0.006401575014602345
787,0.24605013147181523
788,0.24605013147181531
789,0.007709253066620654
790,0.26190610160609124
791,0.2460501314718154
792,0.01865618651950068
793,0.30926240689857004
794,1.0
795,0.001520021524417839
796,0.000607783968770337
797,0.30926240689856993
798,0.30926240689857004
799,0.0015200215244178198
800,0.455522402514157
801,0.05455512240421308
802,0.005769657146569526
803,0.004444904119873263
804,7.188012045112876e-05
805,0.15774780306112024
806,0.30926240689856976
807,0.1408759545977474
808,0.06399034181636992
809,0.008706448390308265
810,0.3092624068985701
811,0.30926240689857004
812,0.45013836149631725
813,0.14087595459774724
814,0.3092624068985701
815,0.003974818604694135
816,0.00297733957754721
817,0.002692577184725009
818,0.004914989635052393
819,0.3092624068985701
820,0.1408759545977475
821,0.1606657617261402
822,0.0015671101921806273
823,2.222981905885956e-05
824,0.004459466874603298
825,0.0015200215244176856
826,0.023764625733087012
827,0.14087595459774732
828,0.14087595459774724
829,0.022482384313117627
830,0.00021019455211513473
831,0.00018796473305636503
832,0.30926240689857
833,0.012852576052018519
834,0.000470085515178984
835,0.0009207792039065727
836,0.04379504518679022
837,0.005258176974419023
838,0.2247151342423626
839,0.01048272420535597
840,0.010030424310915536
841,1.0
842,0.032101662100641054
843,0.08024448794627567
844,0.31245809888190257
845,0.13874830292009852
846,0.14366709994028945
847,0.0038945346400284615
848,0.3124580988819027
849,0.06899718474570717
850,0.0018207166647057217
851,0.3124580988819026
852,0.005827074642075572
853,0.05909529219682797
854,0.3124580988819028
855,0.003275412076308769
856,0.01682842273327169
857,0.568726308873193
858,0.0702140636353601
859,0.17770314125463985
860,0.015164641470049964
861,0.003275412076308881
862,0.048533360230747766
863,0.14016293814596606
864,0.3124580988819028
865,0.35625314406869313
866,0.22082059960233405
867,0.005258176974418994
868,0.012464182090221591
869,0.19692936796531182
870,0.06899718474570724
871,0.01846480265269139
872,0.04335303095350448
873,0.4007010787546262
874,0.026998391703419316
875,0.0038945346400285734
876,0.31245809888190273
877,0.005258176974419042
878,0.061532175928455966
879,0.005258176974418949
880,0.6101307675064995
881,0.3242863485589836
882,0.08125141251228352
883,0.23518815260970216
884,0.08514882440937666
885,0.04513727249763882
886,0.3242863485589837
887,0.022795206199632337
888,0.11511762378347205
889,0.04042589860645619
890,0.003776650656464476
891,0.014855374497204171
892,0.003776650656464564
893,0.0028289395605262664
894,0.0048173951521745546
895,0.3242863485589837
896,0.3242863485589836
897,0.03733107387152898
898,0.024071931059687784
899,0.3242863485589837
900,0.5278455502433217
901,0.08514882440937663
902,0.00872358510648669
903,0.004287585315295821
904,0.08125141251228353
905,0.3242863485589836
906,0.19396831229114664
907,0.07029344991217257
908,0.0028289395605259208
909,0.19785707873817315
910,0.0015755663508556566
911,0.013109567046303255
912,1.0
913,0.0005709798320095245
914,0.2505545264959094
915,0.03733107387152903
916,0.008723585106486931
917,0.01164603651447786
918,0.04099204012999596
919,0.11155155046941974
920,0.17117310609151426
921,0.0001851609648232424
922,0.26257295377294937
923,0.19785707873817313
924,0.47141313462511203
925,0.2925420888765657
926,0.23304213497729645
927,0.08217409142337176
928,0.2390458486052931
929,0.3857906056165657
930,0.7737026138690173
931,0.2545877456668529
932,0.33987524804309366
933,0.9945312272093806
934,0.12456985315280347
935,0.02442759393260452
936,0.22023413447000223
937,0.03417001056632168
938,0.13790818312708025
939,0.2118369364061894
940,0.8761658335204326
941,0.9281225720041176
942,0.21525790539157094
943,0.23904584860529324
944,1.0
945,0.9841075802574658
946,0.4761904482030481
947,0.10056388971732466
948,0.7417770386046821
949,0.3817471477941346
950,0.6563028219048277
951,0.3398752480430938
952,0.08350112637266041
953,0.17712940145179473
954,0.0341700105663222
955,0.578921096648387
956,0.5677425028994583
957,0.6162373000057351
958,0.38174714779413443
959,0.4639212392175061
960,0.25458774566685305
961,0.25458774566685255
962,0.088087014166585
963,0.0629719972904447
964,0.4566226300901715
965,0.25924407488792744
966,0.03417001056632193
967,0.23904584860529277
