,EC_Multi_layer_right_pli_beta
607,0.21261174235820865
608,0.19086897870721317
609,0.13205826006892563
610,0.0647239594656111
611,0.6622711468377636
612,0.22716604256957484
613,0.13205826006892574
614,0.08126859081220933
615,0.11629564841216822
616,0.09091618997283231
617,0.04433782963780746
618,0.33302329598486885
619,0.021200751284047206
620,0.13107665369555502
621,0.31493164904786625
622,0.28868546634706127
623,0.14299364364394324
624,0.0066767875629386185
625,0.01692132655992414
626,0.013963385803038002
627,0.021200751284047192
628,0.02312824281535432
629,0.017883505046633916
630,0.167660308999412
631,0.0412801867000172
632,0.2886854663470612
633,0.13107665369555502
634,0.28868546634706127
635,0.04433782963780762
636,0.0019690111402055374
637,0.006195338287813081
638,0.28868546634706127
639,0.09091618997283228
640,0.006252185660470808
641,1.0
642,0.06194806158039909
643,0.02120075128404717
644,0.021657431319920987
645,0.021460513292224252
646,0.05328603554055016
647,0.31493164904786636
648,0.07343892836835575
649,0.2886854663470612
650,0.28868546634706127
651,0.09091618997283232
652,0.006820610559723677
653,0.006195338287813025
654,0.15358525040711316
655,0.4540465973370932
656,0.001538422540114377
657,0.048368856180141535
658,0.005329061277594313
659,0.3149316490478663
660,0.0019255375564728443
661,0.3634792268827314
662,0.022689163825819935
663,0.03886196864369768
664,0.45707737711043983
665,0.14026199823233393
666,0.06408989049610522
667,0.006174458379135962
668,0.01787357575997561
669,0.11249607626833107
670,0.3118552977827824
671,0.38716099750626226
672,0.3118552977827821
673,0.005509278022414837
674,0.04924138670736088
675,0.4060248361414902
676,0.3118552977827822
677,0.1652311653743694
678,0.01594803820350277
679,0.051623929099949215
680,0.07275542210485035
681,0.051139224880544405
682,0.3454517698110856
683,0.01211931080380544
684,0.03886196864369768
685,0.14254200154854915
686,0.051623929099949256
687,0.035082497364054784
688,0.16553808598726208
689,0.019986771885528776
690,0.31185529778278226
691,0.02268916382582002
692,0.10773096454402538
693,0.022689163825820136
694,0.1617034935461647
695,0.1578981888634105
696,0.04374144722635269
697,0.03508249736405495
698,0.12073820816719448
699,1.0
700,0.01211931080380545
701,0.01998677188552867
702,0.017666135741751084
703,0.1207382081671945
704,0.17027757822324857
705,0.053922149110360224
706,0.5484716727746881
707,0.15739349389554594
708,0.004738853389409106
709,0.004738853389409091
710,0.12145539688740381
711,0.11328276323192502
712,0.17027757822324852
713,0.4268093319225728
714,0.3789101554229967
715,0.23272763885712003
716,0.04177502357527895
717,0.46174754498486353
718,0.012850511156166314
719,0.741303909063881
720,0.1263377931955389
721,0.0518382968039036
722,0.17027757822324852
723,0.05594473595957285
724,0.0447888268573437
725,0.10245099255148793
726,0.01911628926857872
727,0.13972982494522548
728,0.37373194829746464
729,0.08632587288074266
730,1.0
731,0.13972982494522546
732,0.3687676958387084
733,0.275854464253003
734,0.7480440053883027
735,0.2340928282354203
736,0.4268093319225726
737,0.23409282823542044
738,0.019884746682098824
739,0.10245099255148797
740,0.26541772814957004
741,0.11788459659509432
742,0.04347203106124854
743,0.08632587288074263
744,0.04347203106124858
745,0.02536946476352566
746,0.15739349389554588
747,0.2778198679211255
748,0.27847984732967984
749,0.04043858172676145
750,0.30423958012978514
751,0.0014150865081370223
752,0.001266066811157656
753,0.27847984732967995
754,0.0077766539447826
755,0.09250124577097125
756,0.2784798473296799
757,0.33216495433316934
758,0.012806303750881437
759,0.003488627569649067
760,0.013793463687812693
761,0.01126133006549716
762,0.12268921826711596
763,0.2784798473296799
764,0.0046873951956026795
765,0.0003525740922803938
766,0.27847984732968
767,0.011261330065497226
768,0.09178744656257878
769,0.10106383821185892
770,0.10106383821185896
771,1.0
772,0.004687395195602807
773,0.041496304003602526
774,0.09178744656257881
775,0.012806303750881355
776,0.32960175554073606
777,0.10106383821185895
778,0.016832080455909195
779,0.3126463221017041
780,0.09250124577097114
781,0.27847984732967984
782,0.02792537420338396
783,0.004193775754209767
784,0.10027789971575386
785,0.027925374203384094
786,0.012527396876654906
787,0.005081468270347014
788,0.27847984732967984
789,0.0038412016619293367
790,0.3629125740370499
791,0.04598646499443288
792,0.13348227710064947
793,0.2318535025536895
794,0.14956443608272343
795,0.06168620248484304
796,1.0
797,0.3322548205101354
798,0.28317771837485256
799,0.343166145280146
800,0.07956427274105027
801,0.14695271587670558
802,0.24982985980089334
803,0.7280142963897079
804,0.12923806916662722
805,0.27707167549179584
806,0.4282261461332069
807,0.05132545100150718
808,0.13195127890777109
809,0.13348227710064942
810,0.38897274377599256
811,0.2740729254369954
812,0.24982985980089367
813,0.021168616323694222
814,0.8389658899940207
815,0.1469527158767055
816,0.38897274377599256
817,0.02116861632369425
818,0.10854082595468358
819,0.014488276606816687
820,0.04435013001936043
821,0.2498298598008935
822,0.14695271587670533
823,0.09717700604392494
824,0.32736775204149154
825,0.04221942288330614
826,0.24982985980089362
827,0.021168616323694274
828,0.09508161884483138
829,0.11625023516852577
830,0.09405254934786692
831,0.3845113532398475
832,0.5960661929752402
833,0.42822614613320686
834,0.9539628443657874
835,0.1469527158767054
836,0.1398193775342292
837,0.3707763173816515
838,0.013436537446895358
839,0.3487236718751098
840,0.011748957701779066
841,0.18776876312937077
842,0.05261399578595685
843,0.011748957701779151
844,0.25736729928095475
845,0.1103281873219831
846,0.37709899737287866
847,0.2323646275590554
848,1.0
849,0.2975599631095593
850,0.10566332449635647
851,0.2573672992809547
852,0.6941309010738085
853,0.43487897277121546
854,0.3625858148821836
855,0.37077631738165157
856,0.0362389311749503
857,0.0022276935609857693
858,0.011748957701779137
859,0.006008187299332443
860,0.13981937753422907
861,0.3487236718751097
862,0.6441918869530573
863,0.11032818732198316
864,0.2734155695714057
865,0.2573672992809544
866,0.06962021051241618
867,0.9405230472585911
868,0.013976651262764884
869,0.06962021051241615
870,0.0696202105124162
871,0.3707763173816516
872,0.7374137903472684
873,0.08615530089610555
874,0.28377895423381205
875,0.03168745454064583
876,0.10521851560122937
877,0.4043056180648316
878,0.11032818732198306
879,0.14990694816279074
880,0.09293161535181636
881,0.1868894831976035
882,0.0033523573511854052
883,0.05064059918463258
884,0.17778761877484928
885,0.027994717842008455
886,0.33790068259189765
887,0.010251175442946375
888,0.016560577456690716
889,0.01491438330268251
890,0.22516481966361804
891,0.07535388810218199
892,0.12373331280171153
893,0.02464236049082302
894,0.18688948319760357
895,0.014914383302682495
896,1.0
897,0.0404634847063086
898,0.016700375316794445
899,0.1868894831976035
900,0.3172309381584713
901,0.22516481966361804
902,0.07000230395368849
903,0.32702175178283094
904,0.21406008490889525
905,0.0700023039536885
906,0.145383256705587
907,0.4445675430242737
908,0.03039065964835924
909,0.13829333947254796
910,0.18688948319760357
911,0.6885316295814655
912,0.10374141711629416
913,0.3722466819170417
914,0.04560670114869581
915,0.07000230395368841
916,0.11050087314981667
917,0.3270217517828311
918,0.11050087314981667
919,0.05814041853704932
920,0.3270217517828312
921,0.571489456523104
922,0.005461385991528852
923,0.030390659648359273
924,0.21707324921350507
925,0.1473635759982565
926,0.0860810394696295
927,0.18736459672574976
928,0.5712119656765721
929,0.17744405149600873
930,0.05853853781246952
931,0.7904119612553089
932,0.2188571310601111
933,0.11298999958459426
934,0.07239307363507881
935,0.5464552319386554
936,0.06558130920582393
937,0.20118753697596584
938,0.397238852382099
939,0.2827812520422206
940,0.047016997081093734
941,0.03419473333077356
942,0.07991950630191375
943,0.4379559357077462
944,0.11835951292062676
945,0.0996825349576805
946,1.0
947,0.026051444006636924
948,0.31243115740885663
949,0.03419473333077356
950,0.03419473333077358
951,0.02605144400663714
952,0.47166734976247043
953,0.39723885238209894
954,0.22315290570295596
955,0.5617600201107934
956,0.7118670551646264
957,0.4136648753558232
958,0.11411423963268738
959,0.18224066755042648
960,0.44669359613728754
961,0.6800201044243195
962,0.3139823403981427
963,0.28278125204222054
964,0.31398234039814277
965,0.2509385332273523
966,0.40059695719896493
967,0.38637541403322134
