,EC_Multi_layer_left_pli_gamma
313,0.0031031443671096386
314,0.0008718179950941887
315,0.0033528789203809586
316,0.2627338332813154
317,0.00024973455327130013
318,0.0002497345532712391
319,0.023551289741797213
320,0.07101430211639757
321,0.06482658148381609
322,0.023551289741797068
323,0.0002497345532712814
324,0.0033182555295821073
325,0.24673861251209608
326,0.24673861251209614
327,0.0008153010147961739
328,0.06482658148381606
329,0.0010121421642471345
330,0.00021511116247262922
331,0.24673861251209622
332,0.26273383328131533
333,0.24673861251209617
334,0.246738612512096
335,0.24673861251209614
336,0.24673861251209614
337,0.24673861251209625
338,0.06482658148381602
339,0.003304310608280053
340,0.023551289741797217
341,0.0283823499535727
342,0.26273383328131517
343,0.2627338332813154
344,0.06482658148381631
345,0.003103144367109559
346,0.24673861251209608
347,1.0
348,0.24673861251209628
349,0.012576646741731356
350,0.0008153010147960578
351,0.0031031443671096785
352,0.14400818434796392
353,0.11612236661689417
354,0.01630338401757179
355,0.11612236661689414
356,0.4848956289206247
357,0.05881505865014992
358,0.31711614638715474
359,0.3171161463871548
360,0.1537682332432844
361,0.35257168994897603
362,0.018651204748669596
363,0.014480565000547032
364,0.06869489085560009
365,0.11612236661689411
366,0.37265357107152475
367,0.21888533782824038
368,0.352571689948976
369,0.14400818434796395
370,0.15376823324328434
371,0.11612236661689414
372,0.2166237564319209
373,1.0
374,0.018651204748669634
375,0.11180617564182609
376,0.15376823324328437
377,0.4541181077930669
378,0.12951489412299053
379,0.21888533782824038
380,0.04624133043674469
381,0.6902371270651467
382,0.01865120474866961
383,0.3171161463871547
384,0.045663285094504784
385,0.352571689948976
386,0.05421432585505306
387,0.17096047133741596
388,0.3661824474718636
389,0.11180617564182616
390,0.04107126412402259
391,0.111806175641826
392,0.15376823324328429
393,0.14400818434796397
394,0.005170066312722172
395,0.15376823324328423
396,0.4397253204476052
397,0.009364823259179722
398,0.8580519626889506
399,0.045484732006317335
400,0.3799911089881302
401,0.30866835433932766
402,0.0641877040183666
403,0.052257775211206246
404,0.16749712108990236
405,0.145268816693919
406,0.17843223848243886
407,0.4592513467303795
408,0.0812939826446749
409,0.08231891996024675
410,0.1366947870002846
411,0.022663988856906882
412,0.1570133835751991
413,0.7626104065896303
414,0.18976393435525477
415,0.008152951624635182
416,0.3597315404675811
417,0.3597315404675808
418,0.03401440678344418
419,0.16749712108990233
420,0.052257775211206274
421,0.19674113069741622
422,0.06862006792359387
423,0.0682640724308048
424,0.01636229271238774
425,0.308668354339328
426,0.05648266634753355
427,1.0
428,0.09455497491054608
429,0.05225777521120631
430,0.02924400960751387
431,0.006760944877528929
432,0.22237077092558435
433,0.06418770401836664
434,0.30866835433932793
435,0.003368822297231351
436,0.22883431309150185
437,0.01879441782819759
438,0.4656170011453227
439,0.2743350163390964
440,0.02405995714266034
441,0.1646876699947845
442,0.0013327258104110838
443,0.31217862065324253
444,0.12104933623585552
445,0.12265249482178216
446,0.10797859855330057
447,0.00047421176073014374
448,0.018752377963861516
449,0.1308552084169731
450,0.1496075863808346
451,0.042423931761274764
452,0.1210493362358556
453,0.013243844499922077
454,0.14498477043523786
455,0.1308552084169731
456,0.1308552084169731
457,0.3504681073063856
458,0.002962804237379105
459,0.017782743805045395
460,0.05141196965756826
461,0.056963362090057326
462,0.00018631402562273904
463,0.38775665028744255
464,0.10797859855330057
465,0.10797859855330057
466,0.009490733962432366
467,0.31217862065324264
468,0.06006938567612841
469,0.4191677448736074
470,0.34588723060968224
471,0.31217862065324264
472,2.0117927377399124e-05
473,0.00041604850520306636
474,0.007511004233771894
475,0.3458872306096821
476,0.15323974420350012
477,6.444364234614942e-05
478,0.3458872306096821
479,1.0
480,0.4908720010449203
481,0.0033788527425821576
482,0.04526114565019951
483,5.816325552710095e-05
484,0.44193987824693987
485,0.3609740289719277
486,0.14759203346535982
487,0.07107685423001933
488,0.1530279571125899
489,0.15952881841416108
490,0.3562865557139469
491,0.14759203346535923
492,0.14759203346535957
493,0.41425091993607827
494,0.07107685423001943
495,0.11071347141568207
496,0.019680955172802498
497,0.019680955172802425
498,0.01714978372006682
499,0.0472057502862503
500,0.22222668603966747
501,0.03541053241331787
502,0.414250919936078
503,0.041134609608350206
504,0.00682991532431602
505,0.05310555205045964
506,0.12861019348459443
507,0.018179024362049687
508,0.05361998140876971
509,0.03541053241331791
510,0.14759203346535962
511,0.021354201236064702
512,0.4021086385802774
513,0.05683797324989714
514,0.11395448510659781
515,0.061533863499264624
516,0.12861019348459454
517,0.016985248932801268
518,0.04720575028625011
519,0.3198394193635775
520,1.0
521,0.12861019348459488
522,0.1504967856598542
523,0.006829915324316105
524,0.41691859685439536
525,0.01698524893280129
526,0.047205750286250556
527,0.04720575028625034
528,0.2533986291537204
529,0.09269622720022735
530,0.038859538558821696
531,0.15248771507836717
532,0.3637468793087091
533,0.07755437958680084
534,0.31393015875417535
535,0.6966345103366864
536,0.18400974160873232
537,0.43103989993889186
538,0.08507207572534568
539,0.06693296927257819
540,0.18499958201173194
541,0.028210163551421752
542,0.4083655924656601
543,0.2533986291537205
544,0.4673246477254204
545,0.1331298035804846
546,0.15966308291296627
547,0.10683126308237523
548,0.19179704377064674
549,0.16998788223416353
550,0.3139301587541753
551,0.06227073611171206
552,0.44220954421638914
553,0.25171879814414583
554,1.0
555,0.18538034776148465
556,0.023953233384336314
557,0.023953233384336338
558,0.015306499593137068
559,0.43894007617715236
560,0.048425550595382616
561,0.8385293797721225
562,0.1711924958093274
563,0.06585137838119379
564,0.015306499593137063
565,0.04208008498169585
566,0.41921380980138084
567,0.0915619272882718
568,0.863045641383345
569,0.25483717517080506
570,0.06743152298340331
571,0.0926962272002274
572,0.1532078060656673
573,0.1950967230532544
574,0.0512248088018227
575,0.09820051165277797
576,0.04110950706992839
577,0.034098985168062666
578,0.19509672305325443
579,0.5379076015974686
580,0.6458394137111646
581,0.08461513907382011
582,0.26635896868807984
583,0.6242712861667256
584,0.05645715542310017
585,0.08461513907382016
586,0.02081447295097946
587,0.6039798660155345
588,0.225786262120879
589,0.2381063464254385
590,0.1532078060656672
591,0.07991853036784612
592,0.020814472950979414
593,0.2295100178173423
594,0.19509672305325437
595,0.30319926346765574
596,0.23810634642543838
597,1.0
598,0.10159326926823971
599,0.21677094110379122
600,0.34193735981774487
601,0.4804600163770429
602,0.22267368042019323
603,0.32564165640428117
604,0.09249005295196287
605,0.13894211969018413
606,0.11150538548249711
607,0.4155606985318604
608,0.4442120929464628
609,0.20488043254147678
610,0.23015466689053013
611,0.08324227479046703
612,0.12005669428689895
613,0.2295100178173421
614,0.27556148101977085
615,0.5291801546883158
616,0.29131686158764675
617,0.3450449488894277
618,0.4898740315952733
619,0.03224082584916295
620,0.011742316384096918
621,0.10361799400504872
622,0.36420643934594965
623,0.00844010367456671
624,1.0
625,0.011742316384096799
626,0.04455173713806205
627,0.10361799400504851
628,0.007717255701396276
629,0.08815689350277858
630,0.0077172557013962815
631,0.021189234641911154
632,0.4299613939244085
633,0.062295479954982115
634,0.28450346509833324
635,0.10599629329753701
636,0.0551885217478631
637,0.28450346509833363
638,0.12232550643000417
639,0.022688414941751008
640,0.020100014998556005
641,0.02010001499855598
642,0.36420643934594965
643,0.06575495457845891
644,0.1529322295155158
645,0.003825569816759002
646,0.0038255698167590137
647,0.04384962467054432
648,0.14835600719107464
649,0.03701755052643601
650,0.013482030270542095
651,0.023173955105580724
652,0.14488621730985954
653,0.4199053421190329
654,0.16427212481508877
655,0.052768493316727456
656,0.18054308621380522
657,0.010503850024258592
658,0.6775419042363208
659,0.03860453256576514
660,0.017906866507679906
661,0.009667892615926732
662,0.07999934638618236
663,0.32795100596576926
664,1.0
665,0.46626889202472976
666,0.07677894454429278
667,0.05655012630411286
668,0.1749090419254871
669,0.3279510059657695
670,0.17907591931924596
671,0.9835910942527896
672,0.053706297899771736
673,0.12507490992919362
674,0.2014738237985885
675,0.05831853967277774
676,0.23027551282394165
677,0.011280495813426545
678,0.07677894454429289
679,0.07729681853378782
680,0.028995956421034502
681,0.04002098357082917
682,0.16960521419288382
683,0.1431691337440667
684,0.09334322668205249
685,0.011280495813426645
686,0.013343880295869973
687,0.5370847359313364
688,0.20283276476252904
689,0.03383247808058352
690,0.239934146320948
691,0.33342209774164966
692,0.16376317475110172
693,0.33342209774164966
694,0.07999934638618232
695,0.07890942173128734
696,0.013343880295869902
697,0.37512483658508905
698,0.43655647075225196
699,0.37568675887057085
700,0.05460226125834462
701,0.06717582497095692
702,0.14555757426090682
703,0.4521300581877434
704,0.07545749988970367
705,0.40171469814153504
706,0.1365589162724229
707,0.1878385337623826
708,0.23283453140803242
709,0.09353305350150336
710,0.07545749988970415
711,1.0
712,0.034471810525062666
713,0.4582448590022945
714,0.4017146981415351
715,0.06478894241616093
716,0.1413849847813281
717,0.40171469814153515
718,0.18408369520901677
719,0.2657538380877246
720,0.07545749988970385
721,0.09353305350150336
722,0.04806241939429515
723,0.4017146981415353
724,0.2438152154443995
725,0.04806241939429534
726,0.07406772690206251
727,0.012536384963909488
728,0.4718696211869508
729,0.026557548237341473
730,0.6615487043844547
731,0.1799667043281946
732,0.23283453140803229
733,0.8824700884191242
734,0.0051387726976978776
735,0.21439608199972426
736,0.0020643205230736566
737,0.09794415567456022
738,0.3739285877978474
739,0.3519537259538222
740,0.04806241939429551
741,0.0007265452996584931
742,0.141384984781328
743,0.1413849847813281
744,0.0633399521359378
745,0.2657538380877246
746,0.0304806398541504
747,0.14138498478132816
748,0.493787839084357
749,0.0027098096619880252
750,0.000513597996757194
751,0.0277785165477277
752,0.009669850286721179
753,0.0015678281194499405
754,0.0027672779501256325
755,0.007615341915090028
756,0.4412275050087433
757,0.36338197036723097
758,0.005451199940275942
759,1.0
760,0.017910419436246734
761,0.363381970367231
762,0.010305478914578373
763,0.363381970367231
764,0.0009846959742934001
765,0.053890968020266376
766,0.3633819703672311
767,0.0006333661632340239
768,0.015001294463693342
769,0.17943359790985078
770,0.17943359790985078
771,0.02661070464489169
772,0.0017429763028529218
773,0.06356081830698758
774,0.0006333661632340799
775,3.348809646920668e-05
776,0.3633819703672311
777,0.0015678281194499105
778,0.07644439959322917
779,0.001158563060743703
780,0.03428684005257453
781,0.004729521207850932
782,0.14830391272798843
783,0.21422508817056074
784,0.0031882788779333446
785,0.004314545704800576
786,0.00018663225203816516
787,0.0043145457048003365
788,0.00022012034850745074
789,0.0008199984152722317
790,9.215673643726988e-05
791,0.00018663225203823926
792,0.11309353027585106
793,0.01044882898630083
794,0.21408310569720196
795,0.0006631290495959511
796,0.25353716406366456
797,0.04274099596299284
798,0.0056241202872558595
799,0.3610535780682854
800,0.09568046135372348
801,1.0
802,0.25353716406366456
803,0.16656474684977385
804,0.4613297221452033
805,0.0018366499873612642
806,0.10294675194388142
807,0.5251987887326827
808,0.07729547131594577
809,0.002030608753200343
810,0.020483570321146456
811,0.05412803887962786
812,0.10837272522032054
813,0.048228490118533314
814,0.10705808453254963
815,0.2535371640636645
816,0.1896249018690649
817,0.07729547131594569
818,0.0011183746391284519
819,0.16656474684977382
820,0.3001569069059998
821,0.2423877444712349
822,0.36105357806828564
823,0.008504281872642731
824,0.019543122111308934
825,0.015431789522640776
826,0.023315709203436646
827,0.0006631290495959358
828,0.265003498554521
829,0.0030975309678745607
830,0.7229634673522708
831,0.7022147943253819
832,0.0030705013990188434
833,0.36105357806828564
834,0.4383490493842313
835,0.0006631290495959793
836,0.0006167507039744902
837,0.2649932521175119
838,0.28874154819742576
839,0.07552488888787537
840,0.07552488888787538
841,3.296874282874189e-06
842,0.28500683803972376
843,0.2649932521175119
844,0.0021169009029886397
845,3.2968742828447157e-06
846,3.2968742829529013e-06
847,1.741610671154447e-06
848,0.26499325211751185
849,3.296874282805385e-06
850,0.2649932521175119
851,5.5786249280957724e-05
852,0.0002105195088368752
853,0.26499325211751185
854,6.189701730029925e-05
855,0.2649932521175119
856,9.396317149061538e-07
857,2.914778918215866e-07
858,0.2850068380397237
859,2.3060089155362163e-05
860,1.5899462513666656e-05
861,0.023748296079913963
862,0.08961849364142543
863,0.2649932521175119
864,0.2649932521175118
865,0.2649932521175119
866,3.2968742828939715e-06
867,0.0073717580073717915
868,3.5458703468766897e-06
869,1.2441351831876363e-05
870,0.2649932521175119
871,5.999949955942884e-05
872,1.0
873,3.859362074015805e-06
874,1.0999445816733983e-06
875,6.572283095026631e-06
876,6.11076801936903e-06
877,0.2649932521175119
878,1.0227049072389873e-06
879,0.025701762208110667
880,0.040520332541721604
881,0.259096893339412
882,0.19399732946471734
883,0.8135625938845878
884,0.0690888045540659
885,0.0031921797710306606
886,0.21693840600303804
887,0.3227872958872656
888,0.693550780929251
889,0.10279871051407279
890,0.3184719839469011
891,0.07787922090637976
892,0.3184719839469011
893,0.12723358594857576
894,0.2590968933394118
895,0.19399732946471712
896,0.2190864578362215
897,0.028281308142534514
898,0.24580735810221815
899,0.25909689333941194
900,0.6091503781917049
901,0.19493555734818485
902,0.3184719839469011
903,0.24454025732877233
904,0.259096893339412
905,0.01002342413756196
906,1.0
907,0.03643378414760459
908,0.2445402573287723
909,0.259096893339412
910,0.6120964077665508
911,0.10279871051407287
912,0.06908880455406577
913,0.19493555734818477
914,0.07787922090637983
915,0.07877970319576723
916,0.07828275700355987
917,0.07787922090638001
918,0.35899231648862245
919,0.318471983946901
920,0.21693840600303796
921,0.0778792209063796
922,0.2590968933394118
923,0.11440185003425361
924,0.881982651933615
925,0.41416489766088044
926,0.012901926633554092
927,0.5263757423657635
928,0.08349295994242793
929,0.09862303412524974
930,0.04102643082121131
931,0.08349295994242784
932,0.24060510695308657
933,0.037890169912323836
934,0.09424125409743161
935,0.07634586716566655
936,0.47204604659329275
937,0.08401189756816736
938,0.3060589326649996
939,0.08349295994242786
940,0.19650872548476375
941,0.0077343673790915704
942,0.21163201303905288
943,0.3470124179812511
944,0.1638058400268288
945,0.1398988142896599
946,0.2089562175162978
947,0.019604524011957107
948,0.011501495275620475
949,0.19351607089535772
950,0.03718001421566157
951,0.0026839215257739653
952,0.18265891912501933
953,0.3470124179812511
954,0.30605893266499945
955,0.0342234175404506
956,0.4031521843037289
957,0.0026839215257738027
958,0.014948411600269926
959,0.026492963968033155
960,0.033144333400316056
961,0.13989881428965975
962,0.06715247967962942
963,0.41952282027379784
964,0.005187284454388685
965,0.0077343673790917266
966,1.0
967,0.02897309391403355
