,EC_Multi_layer_right_pli_gamma
890,0.06924113109329964
891,0.006884809493632056
892,1.0
893,0.12905971869135233
894,0.3202833932817788
895,0.01789952012306512
896,0.3202833932817788
897,0.032197948758049946
898,0.03868774994066772
899,0.020673786897833082
900,0.32028339328177874
901,0.12079224446904452
902,0.21618707852387092
903,0.006621470619622348
904,0.3202833932817787
905,0.32028339328177885
906,0.3616190779202369
907,0.006621470619622353
908,0.055886507070060196
909,0.002363163858517437
910,0.017899520123065088
911,0.0007568821394868378
912,0.5186321053414882
913,0.027901043538995755
914,0.16610925056364467
915,0.3202833932817789
916,0.04468400785780783
917,0.006621470619622359
918,0.01789952012306508
919,0.23699494926236248
920,0.0008885515764915784
921,0.04133568463845811
922,0.007773361070123637
923,0.018310623039315643
924,0.6295707748409204
925,0.25510625483888894
926,0.01781129193311922
927,0.00217984418426484
928,0.16764842037436328
929,0.0008832873255919761
930,0.11111670008242129
931,0.25641101991429655
932,0.16764842037436353
933,0.08161485345648534
934,0.20141539281966175
935,0.008427214835448367
936,0.1724966088294671
937,0.1435778248392725
938,0.036312559699458825
939,0.1676484203743634
940,0.18484600807061474
941,0.09085472292810737
942,0.21659947417561048
943,1.0
944,0.08961491893204843
945,0.010241611585558872
946,0.5216740740487108
947,0.48682148793431435
948,0.05026718901752861
949,0.010822629560474549
950,0.05718353499056789
951,0.023783361847947323
952,0.0003129772864653725
953,0.005268688625992109
954,0.028918783990194798
955,0.0018668668977993882
956,0.47313888667324966
957,0.012866715133411226
958,0.017811291933119287
959,0.008427214835448275
960,0.40520663447782945
961,0.47313888667324944
962,0.16764842037436364
963,0.0036289344477247504
964,0.3543323643362711
965,0.025275034301342567
966,0.09039240243403492
967,0.18484600807061463
