,EC_Multi_layer_right_hbr
0,0.10154864436649302
1,0.7687667136528229
2,0.02689225640709785
3,0.002800652451777229
4,0.2931076626820586
5,0.7250262583562953
6,0.026354044009009033
7,0.008187006298624027
8,0.8886797034848171
9,0.17361721948050493
10,0.08357550754576434
11,0.1381102376623142
12,0.06518892664070478
13,0.026354044009009002
14,0.48325248795925857
15,0.6973794518812003
16,0.01459520714970524
17,0.39134751327270945
18,0.0008036137600662565
19,0.0019878056830474862
20,0.42945667770793267
21,0.31079069480517074
22,0.09960080291311678
23,0.19536534794222654
24,0.40427178919914153
25,1.0
26,0.0013534222652312174
27,0.5098181635699826
28,0.19926401153818224
29,0.0651889266407049
30,0.006927647504972228
31,0.004113389444596984
32,0.003347802892484756
33,0.2896806086984215
34,0.0028006524517770657
35,0.06518892664070483
36,0.24637089595201433
37,0.13489620491348955
38,0.29310766268205835
39,0.051925032762089096
40,0.026354044009008943
41,0.31079069480517046
42,0.2067309908300222
43,0.00921020619267421
44,0.1103442864291575
45,0.2596846631616467
46,0.04079877978845544
47,0.04079877978845538
48,0.04797021298439416
49,0.11813427901493977
50,0.22693338678545172
51,0.08390652179396856
52,0.4801791734337968
53,0.3962505290797659
54,0.6531361374727273
55,0.8776068050192312
56,0.044806968525607324
57,0.2006128388639762
58,0.5494187034609741
59,0.6084516181748862
60,0.12503559546049592
61,0.17324092158365328
62,0.09754616042416593
63,0.03961009565026751
64,0.7445793227508932
65,0.3563655333944388
66,0.07034709971802232
67,0.24295423804774302
68,0.4077965997548348
69,0.23125062775099436
70,0.01656696237768652
71,0.12626929540455295
72,0.19498402506334853
73,0.2949916273971192
74,0.4485152717103715
75,0.4060651437025148
76,0.3563655333944389
77,0.10150323484513211
78,0.049355020774560346
79,0.05127355958366498
80,0.1201360138809891
81,0.5258509612725646
82,1.0
83,0.02004135360326236
84,0.2958540415106434
85,0.10544889006407288
86,0.05077259703859574
87,0.016566962377686477
88,0.0001614345866854494
89,0.0014911645737955578
90,0.002806963252108626
91,4.0021574221645265e-05
92,0.4762654645336981
93,0.25559386831052683
94,0.2932770464478665
95,0.1167021165224695
96,0.04107788508590432
97,0.021392270462986997
98,0.40710696888724257
99,0.0008464973761586778
100,0.06548510773320486
101,1.0
102,0.006780092859428758
103,0.025560854882173648
104,0.08758751087176493
105,0.06278658150225196
106,0.13419535057058662
107,0.2641465636120111
108,0.01672309328562091
109,0.0017346846646952413
110,0.0006111553543545857
111,0.004261004594042198
112,0.005185162238397402
113,0.01146916543857895
114,0.19389098965198817
115,0.002079299645674092
116,0.0038456003467578514
117,0.7203930879628251
118,9.83072688018729e-05
119,0.0011427343013438115
120,0.00039654095611977116
121,0.40710696888724274
122,0.4071069688872428
123,0.026659443716519585
124,0.0008558690935802366
125,0.00020145616090701165
126,0.04751024492018829
127,0.035657486063382704
128,0.15156428991425203
129,0.0021109156820624305
130,0.5146428757413097
131,0.0002488056038303932
132,0.6192451376186578
133,0.10070744928022152
134,0.22046732103129776
135,1.0
136,0.1936608746388218
137,0.23885834723197166
138,0.2758274495806816
139,0.005096349438928097
140,0.030925687385176624
141,0.040968050770868146
142,6.917731471716591e-05
143,0.2758274495806816
144,0.11629436111672624
145,0.2758274495806812
146,0.06624250589530718
147,0.12247989107700914
148,0.0036349716558388497
149,0.014951493981211032
150,0.24035073008894
151,0.10133666769614234
152,0.013038887398705835
153,0.05163996804560459
154,0.02511022178430373
155,0.14967700682380178
156,0.11614620033711509
157,0.019342735847904153
158,0.0003199765546847851
159,0.0019925148171873004
160,0.05955652850801541
161,0.3292444347158717
162,0.12928810229577464
163,0.2521356131163608
164,0.003232437469199885
165,0.0015325766417948006
166,0.6542086925936158
167,0.0010908832781323012
168,0.00016407504288281225
169,0.0005948466808946643
170,0.05451044585786625
171,0.5604359991663177
172,0.00845257114858434
173,0.007666708639153598
174,0.4687281939934579
175,0.5379143314768895
176,0.03658665210640423
177,0.5041554253363846
178,0.019217801183331357
179,0.0021521950176484265
180,0.2974313183054364
181,0.4703342970050175
182,0.011735247859335763
183,0.0027528640398012116
184,0.6319113439803237
185,0.31839357939074864
186,0.006849807640678412
187,0.01153829009053612
188,0.03973492040189176
189,0.07633844907797498
190,0.19262713246911453
191,0.8728769187590766
192,0.04009522210903826
193,0.16033075055158322
194,0.005530348836889456
195,0.0022225877337369014
196,1.0
197,0.11953444876484408
198,0.47930402108931713
199,0.2539583746637316
200,0.3507998482401732
201,0.2544635821564166
202,0.0027528640398016726
203,0.007723427660576473
204,0.12901300003026409
205,0.15021405063759677
206,0.00686846495175122
207,0.006562838316997846
208,0.06655271962140495
209,0.0008649440366090248
210,0.0008649440366091232
211,0.004716269934102665
212,0.0021521950176486846
213,0.024483933668375268
214,0.012600191895945355
215,0.022531875585889555
216,0.080549043377949
217,0.3507998482401736
218,0.004490250285731339
219,0.01632996740789031
220,0.08815124538742078
221,0.6018092889357485
222,0.4257182587532155
223,0.05683818742594742
224,0.07058646698301602
225,0.10959142785032684
226,0.42571825875321495
227,0.2070054591122468
228,0.29759060767198753
229,0.3292295305269847
230,0.1999377867236815
231,0.8957255600401103
232,0.10197357903549811
233,0.10375948430974348
234,0.3698022858285777
235,0.12985833706064345
236,0.15011303485472055
237,0.056982321988668906
238,0.056838187425947234
239,0.13351127478630384
240,0.14015902246608694
241,0.14309959929773414
242,0.14128955137332724
243,0.15743158520590111
244,0.1954420876041317
245,0.14015902246608658
