,EC_Multi_layer_left_hbr
0,0.006028124355397378
1,0.4188744200324262
2,0.0056546644922787
3,0.01448061715839439
4,0.3570620503240694
5,0.8577259770535643
6,0.18153108833954487
7,0.021968490740537385
8,0.2662551835165244
9,0.457124024498908
10,0.1770759781141568
11,0.1815310883395448
12,0.0028474250121965357
13,0.5331971967891588
14,0.17437289209645038
15,0.7033469207350923
16,0.009145245167095447
17,0.0961053665618689
18,0.034537089797124054
19,0.028453572014987168
20,0.8318372914248042
21,0.05886941469965417
22,0.05451060483869835
23,0.18246785377551078
24,0.17437289209645054
25,0.41887442003242614
26,0.09640699051782026
27,0.43606966904020167
28,0.048394175273934296
29,1.0
30,0.013583500744893834
31,0.280833642676737
32,0.41628918777840823
33,0.2552459034437541
34,0.005654664492278841
35,0.42920812217718607
36,0.011844914383512943
37,0.5949638883474447
38,0.14141470984105992
39,0.015173369522493136
40,0.020145971917992056
41,0.07595939464387683
42,0.07371481510420905
43,0.0068400167378657745
44,0.022784919057069093
45,0.5750324911330805
46,0.2210242553525073
47,0.009663698063610306
48,0.4715935398913269
49,0.8680292417720145
50,0.24388677252516017
51,0.010043464905417996
52,0.9241215260144142
53,0.47791370605419603
54,0.025252169681626403
55,0.14200416658516
56,0.09374234172660781
57,0.010618466560273954
58,0.7009658523234612
59,0.3159620068312042
60,0.09374234172660775
61,0.33364291539216595
62,0.02473083845026998
63,0.02503605757273185
64,0.20269607911272086
65,0.10343895124175422
66,0.24388677252515997
67,1.0
68,0.43130650404022663
69,0.29729850401436203
70,0.010489014906953528
71,0.2613771365014628
72,0.565633892608627
73,0.117290076688562
74,0.0387855878832738
75,0.031147080740149796
76,0.0661958944739612
77,0.06879878306315024
78,0.009663698063610055
79,0.1606029675019504
80,0.16221271536014295
81,0.02368032749121077
82,0.07343810918521165
83,0.049745881656940535
84,0.31366386893402476
85,0.24388677252515992
86,0.009663698063610006
87,0.020753590433758372
88,0.0011403973085678406
89,0.6024891574267489
90,0.3629487334212329
91,0.0003967057301601483
92,0.25235098745082574
93,0.3815070422795133
94,0.023236669891346682
95,0.04702013904672282
96,0.0770128478582643
97,0.16307717205351893
98,0.005247508482412482
99,0.015082487876882015
100,0.06391470175947145
101,0.02495855716126767
102,0.05830920516670369
103,0.6106928261291105
104,0.07891642379414783
105,0.6069660106710483
106,0.0023184823160504516
107,0.0019003287840269412
108,0.13190686728403075
109,0.01870364269156065
110,9.634551165099727e-05
111,0.3730762541970281
112,1.0
113,0.04231131100467185
114,0.01404079345503117
115,0.21857211880618307
116,0.23700570543273827
117,0.10276765853155384
118,0.05646115527831229
119,0.10606248601050249
120,0.00021795245849138629
121,0.44204829033767046
122,0.006667187980014443
123,0.0006794737703425071
124,0.000840037090058654
125,0.0033445332971710233
126,0.1893604239379465
127,0.13150430165152158
128,0.17601946002517022
129,0.027452360057057857
130,0.008526360894963654
131,0.038525114838826896
132,0.32729548489411425
133,1.0
134,0.01302095286226595
135,0.2640761776747662
136,0.43745563970364054
137,0.5975520438214139
138,0.39689311717501147
139,0.016459476323816325
